id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add Diagnostic Fragment,7,add_diagnosticfragment
26,Can change Diagnostic Fragment,7,change_diagnosticfragment
27,Can delete Diagnostic Fragment,7,delete_diagnosticfragment
28,Can view Diagnostic Fragment,7,view_diagnosticfragment
29,Can add Last Author,8,add_lastauthor
30,Can change Last Author,8,change_lastauthor
31,Can delete Last Author,8,delete_lastauthor
32,Can view Last Author,8,view_lastauthor
33,Can add Species,9,add_species
34,Can change Species,9,change_species
35,Can delete Species,9,delete_species
36,Can view Species,9,view_species
37,Can add Stage of Life,10,add_stageoflife
38,Can change Stage of Life,10,change_stageoflife
39,Can delete Stage of Life,10,delete_stageoflife
40,Can view Stage of Life,10,view_stageoflife
41,Can add Sublocation,11,add_sublocation
42,Can change Sublocation,11,change_sublocation
43,Can delete Sublocation,11,delete_sublocation
44,Can view Sublocation,11,view_sublocation
45,Can add Model Species,12,add_modelspecies
46,Can change Model Species,12,change_modelspecies
47,Can delete Model Species,12,delete_modelspecies
48,Can view Model Species,12,view_modelspecies
49,Can add Study,13,add_study
50,Can change Study,13,change_study
51,Can delete Study,13,delete_study
52,Can view Study,13,view_study
53,Can add Glycan,14,add_glycan
54,Can change Glycan,14,change_glycan
55,Can delete Glycan,14,delete_glycan
56,Can view Glycan,14,view_glycan
57,Can add Composition,15,add_monosaccharidecomposition
58,Can change Composition,15,change_monosaccharidecomposition
59,Can delete Composition,15,delete_monosaccharidecomposition
60,Can view Composition,15,view_monosaccharidecomposition
